diameter_km,lon,lat,tag
13.1083451513,98.3017378352,1.50883691808,standard
9.02601129184,97.4052012886,0.65418237069,standard
12.6992845271,96.025712938,-0.9635098507,standard
6.85519782312,95.8895964404,-0.7148354801,standard
7.66700248178,96.3293574326,-1.30772753212,standard
7.78107445393,96.4641651177,0.31519993918,standard
9.31755834563,94.9786629565,-0.34313273667,standard
8.27360462124,94.7326062109,-0.45961704711,standard
7.96167122617,91.3401642709,-0.14811967762,standard
6.63330421612,90.3428491635,-0.94256885107,standard
9.48190233856,90.2355265404,-2.91102281626,standard
5.63349101076,90.6294790959,-2.73956838179,standard
6.3113041369,91.159548149,-3.13875618724,standard
6.02235999037,92.6489767477,-2.70161281997,standard
12.282314454,93.6371301677,-2.52623194807,standard
11.7492722264,96.1291091237,-1.66110690087,standard
19.3087846122,95.3763418943,-2.63972547488,standard
5.73874757787,96.6709574891,-1.92025177128,standard
6.56532001685,97.4523185378,-2.09039739327,standard
5.02467230405,98.4430895827,-2.20819051619,standard
6.77124244042,98.5333976436,-2.35346870112,standard
5.46142572699,97.6564932842,-2.82725881774,standard
15.1938773495,90.4142038047,-3.61093320472,standard
7.64476368776,91.3963078602,-4.8820846076,standard
7.07901499617,91.9448408945,-4.57004485754,standard
5.77587274119,91.9393665129,-4.94887206288,standard
6.57503574649,92.542643363,-3.56494839945,standard
11.7740282779,95.6652306163,-5.09558548923,standard
11.1266446772,96.0539117085,-3.60874345209,standard
10.6933501136,96.2225226611,-4.92040527866,standard
8.85126390972,96.2093841453,-4.63464256019,standard
5.37593614153,96.6823707139,-4.97514909446,standard
10.8299507707,97.244042264,-3.99085528637,standard
12.628385339,96.5991601138,-5.33098389717,standard
5.05670375847,97.6808979141,-3.89122154162,standard
5.72383346256,98.3881880142,-3.24962402044,standard
5.37688787556,98.2918388984,-3.79706217844,standard
8.1629151626,98.1626434931,-5.73170862883,standard
9.15313496797,97.6743286562,-6.86709536852,standard
18.4063071904,96.7666761902,-6.45213724476,standard
5.41531600441,97.2265242429,-6.11053583416,standard
5.47833817868,96.4053670059,-5.73499325777,standard
7.78752843676,96.3035435085,-6.04922276047,standard
8.79136929946,94.2966352213,-6.6875356527,standard
5.537044721,96.2433253111,-7.4397156818,standard
6.50573440093,93.4207341685,-5.82805774463,standard
16.9925866594,93.6418991843,-7.15395296332,standard
18.4881781117,91.5233135128,-6.43023971844,standard
5.36919321043,90.7174845443,-5.99119431572,standard
12.8428753582,92.6335180973,-9.10283280581,standard
10.0275905084,92.5415484867,-8.6298462373,standard
5.85772951258,93.1305919447,-8.5411612557,standard
10.417846944,96.7491581691,-8.16561867931,standard
8.11103522893,96.8684996876,-7.94445366348,standard
10.5794001013,97.219954985,-8.33313475566,standard
9.24518729114,98.9925597406,-9.65793509803,standard
9.3678760264,97.3841864324,-10.7922269614,standard
7.69053616149,96.9922207113,-10.5721568219,standard
7.83148273269,94.1564910528,-10.3969766113,standard
9.75966347918,93.1448253368,-10.0269084165,standard
5.15737050938,93.0473813447,-10.9301813772,standard
8.2186927494,91.6557935471,-10.7955115904,standard
5.69136147865,91.6229472576,-10.5787260798,standard
17.5760309695,90.7196742969,-11.3845550484,standard
5.62855500176,91.7028732287,-13.0783287092,standard
5.64061678798,92.0390002577,-11.7590027484,standard
6.43760897738,92.5864384157,-11.6024354353,standard
